epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.98324,1.76523,4.26608,1.35174,0,0,0,0,1.62452,3.93181,1.23133,0,0,0
2,7.82009,1.53784,4.2497,1.19479,0,0,0,0,1.61893,3.92465,1.21897,1.20875e-05,1.20875e-05,1.20875e-05
3,11.1516,1.50237,4.28068,1.2184,0,0,0,0,1.61872,3.9168,1.2125,2.335e-05,2.335e-05,2.335e-05
4,14.844,1.6142,4.27238,1.35697,0,0,0,0,1.56131,3.90305,1.18337,3.37875e-05,3.37875e-05,3.37875e-05
5,18.4656,1.69971,4.41264,1.16765,0.00543,0.08333,0.0047,0.00047,1.47352,3.90431,1.14192,4.34e-05,4.34e-05,4.34e-05
6,21.7576,1.44614,4.26112,1.21477,0.00556,0.08333,0.00667,0.00067,1.45589,3.89497,1.11657,5.21875e-05,5.21875e-05,5.21875e-05
7,25.0093,1.4509,4.2179,1.09658,0.00543,0.08333,0.00457,0.00046,1.41772,3.87694,1.09016,6.015e-05,6.015e-05,6.015e-05
8,28.3487,1.34568,3.97514,1.18099,0.01546,0.25,0.03464,0.00761,1.39647,3.84741,1.06176,6.72875e-05,6.72875e-05,6.72875e-05
9,31.8291,1.25825,3.89642,1.13003,0.01546,0.25,0.03464,0.00761,1.39647,3.84741,1.06176,7.36e-05,7.36e-05,7.36e-05
10,35.29,1.49888,3.85848,1.16863,0.01456,0.25,0.05051,0.01627,1.34316,3.82945,1.03225,7.90875e-05,7.90875e-05,7.90875e-05
11,38.3673,1.34193,3.73733,1.18085,0.01456,0.25,0.05051,0.01627,1.34316,3.82945,1.03225,8.375e-05,8.375e-05,8.375e-05
12,41.4876,1.33855,3.67152,1.09787,0.01402,0.25,0.12732,0.06272,1.32146,3.82928,1.03753,8.75875e-05,8.75875e-05,8.75875e-05
13,44.4776,1.41535,3.71527,1.16161,0.01402,0.25,0.12732,0.06272,1.32146,3.82928,1.03753,9.06e-05,9.06e-05,9.06e-05
14,47.6258,1.40622,3.7956,1.2253,0.01376,0.25,0.25101,0.10012,1.2514,3.81205,1.00975,9.27875e-05,9.27875e-05,9.27875e-05
15,50.504,1.30205,3.41823,1.06386,0.01376,0.25,0.25101,0.10012,1.2514,3.81205,1.00975,9.415e-05,9.415e-05,9.415e-05
16,53.4201,1.42351,3.45484,1.09379,0.01802,0.33333,0.25178,0.1139,1.16191,3.77678,0.97265,9.46875e-05,9.46875e-05,9.46875e-05
17,56.3205,1.46868,3.5031,1.09652,0.01802,0.33333,0.25178,0.1139,1.16191,3.77678,0.97265,9.44e-05,9.44e-05,9.44e-05
18,59.479,1.15289,3.03769,1.01815,0.01415,0.25,0.21911,0.08999,1.19939,3.78796,0.99833,9.32875e-05,9.32875e-05,9.32875e-05
19,62.3521,1.17932,3.12267,1.07335,0.01415,0.25,0.21911,0.08999,1.19939,3.78796,0.99833,9.135e-05,9.135e-05,9.135e-05
20,65.3117,1.27952,3.13062,1.09447,0.00943,0.16667,0.12813,0.06815,1.17555,3.79676,1.00772,8.85875e-05,8.85875e-05,8.85875e-05
21,68.4231,1.48642,2.85851,1.30592,0.00943,0.16667,0.12813,0.06815,1.17555,3.79676,1.00772,8.5e-05,8.5e-05,8.5e-05
22,72.1218,1.16964,2.91486,1.10575,0.01486,0.33333,0.12453,0.05682,1.13391,3.77292,0.99113,8.05875e-05,8.05875e-05,8.05875e-05
23,77.0091,1.11337,2.55341,1.02436,0.01486,0.33333,0.12453,0.05682,1.13391,3.77292,0.99113,7.535e-05,7.535e-05,7.535e-05
24,81.1522,1.24072,2.76623,1.10719,0.01486,0.33333,0.12453,0.05682,1.13391,3.77292,0.99113,6.92875e-05,6.92875e-05,6.92875e-05
25,84.8826,1.12305,2.57627,0.9897,0.02044,0.5,0.12501,0.05849,1.16039,3.77348,1.00065,6.24e-05,6.24e-05,6.24e-05
26,88.411,1.27126,2.40812,1.07651,0.02044,0.5,0.12501,0.05849,1.16039,3.77348,1.00065,5.46875e-05,5.46875e-05,5.46875e-05
27,91.9626,1.56024,2.58674,1.1067,0.02044,0.5,0.12501,0.05849,1.16039,3.77348,1.00065,4.615e-05,4.615e-05,4.615e-05
28,95.4466,1.37324,2.71039,1.05821,0.02562,0.58333,0.15193,0.06088,1.13293,3.73229,0.98197,3.67875e-05,3.67875e-05,3.67875e-05
29,98.4374,1.29408,2.38764,1.04805,0.02562,0.58333,0.15193,0.06088,1.13293,3.73229,0.98197,2.66e-05,2.66e-05,2.66e-05
30,101.66,1.0596,2.49472,1.07367,0.02562,0.58333,0.15193,0.06088,1.13293,3.73229,0.98197,1.55875e-05,1.55875e-05,1.55875e-05
