epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.61941,1.52047,4.32226,1.29945,0,0,0,0,1.61751,3.93169,1.22879,0,0,0
2,7.67393,1.73571,4.30921,1.40864,0,0,0,0,1.61643,3.92781,1.21952,1.20875e-05,1.20875e-05,1.20875e-05
3,11.6483,1.51253,4.46309,1.20099,0,0,0,0,1.62657,3.91612,1.2098,2.335e-05,2.335e-05,2.335e-05
4,15.1302,1.56248,4.2581,1.22466,0,0,0,0,1.58053,3.92149,1.19745,3.37875e-05,3.37875e-05,3.37875e-05
5,19.4316,1.42387,4.041,1.20123,0,0,0,0,1.4722,3.92188,1.13285,4.34e-05,4.34e-05,4.34e-05
6,23.2562,1.63613,4.20138,1.36419,0,0,0,0,1.4594,3.9194,1.11032,5.21875e-05,5.21875e-05,5.21875e-05
7,26.8778,1.44198,4.17872,1.20169,0.00543,0.08333,0.00777,0.00078,1.50479,3.91771,1.12781,6.015e-05,6.015e-05,6.015e-05
8,30.411,1.73696,4.21603,1.20333,0.00549,0.08333,0.0098,0.00098,1.54045,3.92178,1.14332,6.72875e-05,6.72875e-05,6.72875e-05
9,33.8044,1.35674,4.11371,1.138,0.00549,0.08333,0.0098,0.00098,1.54045,3.92178,1.14332,7.36e-05,7.36e-05,7.36e-05
10,37.0087,1.49091,4.10397,1.19394,0.0101,0.16667,0.0176,0.00308,1.52511,3.93259,1.1291,7.90875e-05,7.90875e-05,7.90875e-05
11,40.4464,1.63087,3.95864,1.33731,0.0101,0.16667,0.0176,0.00308,1.52511,3.93259,1.1291,8.375e-05,8.375e-05,8.375e-05
12,43.7971,1.33508,3.81807,1.13241,0.01053,0.16667,0.02848,0.00457,1.51893,3.94728,1.13829,8.75875e-05,8.75875e-05,8.75875e-05
13,47.2933,1.71772,3.81814,1.244,0.01053,0.16667,0.02848,0.00457,1.51893,3.94728,1.13829,9.06e-05,9.06e-05,9.06e-05
14,50.8808,1.49219,3.60034,1.12862,0.01546,0.25,0.04185,0.01162,1.40941,3.96423,1.11354,9.27875e-05,9.27875e-05,9.27875e-05
15,54.1548,1.23688,3.46408,1.05333,0.01546,0.25,0.04185,0.01162,1.40941,3.96423,1.11354,9.415e-05,9.415e-05,9.415e-05
16,57.5335,1.56423,3.80662,1.21786,0.01471,0.25,0.08275,0.01755,1.2799,3.94503,1.08067,9.46875e-05,9.46875e-05,9.46875e-05
17,60.7811,1.43652,3.43253,1.23421,0.01471,0.25,0.08275,0.01755,1.2799,3.94503,1.08067,9.44e-05,9.44e-05,9.44e-05
18,64.2383,1.5254,3.74538,1.12691,0.00935,0.16667,0.08685,0.02866,1.21853,3.93722,1.06397,9.32875e-05,9.32875e-05,9.32875e-05
19,67.4234,1.29531,3.30815,1.02522,0.00935,0.16667,0.08685,0.02866,1.21853,3.93722,1.06397,9.135e-05,9.135e-05,9.135e-05
20,71.6247,1.69485,3.42618,1.24164,0.00962,0.16667,0.07019,0.02879,1.18803,3.88089,1.03177,8.85875e-05,8.85875e-05,8.85875e-05
21,75.2553,1.3328,2.88855,1.08079,0.00962,0.16667,0.07019,0.02879,1.18803,3.88089,1.03177,8.5e-05,8.5e-05,8.5e-05
22,78.5886,1.44907,3.16598,1.20403,0.00962,0.16667,0.05902,0.03246,1.14384,3.86164,1.0233,8.05875e-05,8.05875e-05,8.05875e-05
23,81.8755,1.29722,2.64814,1.10754,0.00962,0.16667,0.05902,0.03246,1.14384,3.86164,1.0233,7.535e-05,7.535e-05,7.535e-05
24,85.4775,1.24147,2.93805,1.03423,0.00962,0.16667,0.05902,0.03246,1.14384,3.86164,1.0233,6.92875e-05,6.92875e-05,6.92875e-05
25,89.049,1.3766,2.97147,1.10566,0.01515,0.25,0.09668,0.01814,1.10999,3.78809,0.99028,6.24e-05,6.24e-05,6.24e-05
26,92.5109,1.37655,2.79555,1.06554,0.01515,0.25,0.09668,0.01814,1.10999,3.78809,0.99028,5.46875e-05,5.46875e-05,5.46875e-05
27,96.082,1.2192,2.6804,1.02345,0.01515,0.25,0.09668,0.01814,1.10999,3.78809,0.99028,4.615e-05,4.615e-05,4.615e-05
28,99.4417,1.23295,2.6952,1.05351,0.01442,0.25,0.09649,0.01103,1.13741,3.77771,0.99624,3.67875e-05,3.67875e-05,3.67875e-05
29,103.541,1.35565,2.38804,1.26009,0.01442,0.25,0.09649,0.01103,1.13741,3.77771,0.99624,2.66e-05,2.66e-05,2.66e-05
30,109.27,1.24742,2.72713,1.0404,0.01442,0.25,0.09649,0.01103,1.13741,3.77771,0.99624,1.55875e-05,1.55875e-05,1.55875e-05
