epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79017,1.76523,4.26608,1.35174,0,0,0,0,1.62452,3.93181,1.23133,0,0,0
2,7.35405,1.53784,4.2497,1.19479,0,0,0,0,1.61884,3.92454,1.21889,1.23763e-05,1.23763e-05,1.23763e-05
3,11.1092,1.50209,4.28015,1.21829,0,0,0,0,1.6185,3.9163,1.21223,2.4505e-05,2.4505e-05,2.4505e-05
4,16.8012,1.61458,4.27003,1.35702,0,0,0,0,1.55655,3.90248,1.18052,3.63862e-05,3.63862e-05,3.63862e-05
5,21.477,1.69311,4.40619,1.16972,0.00526,0.08333,0.00437,0.00044,1.46897,3.90272,1.1373,4.802e-05,4.802e-05,4.802e-05
6,25.9592,1.44188,4.24967,1.21037,0.00521,0.08333,0.00548,0.00055,1.44966,3.89177,1.11184,5.94062e-05,5.94062e-05,5.94062e-05
7,30.0619,1.43504,4.18711,1.08303,0.00495,0.08333,0.0031,0.00031,1.3732,3.87438,1.06809,7.0545e-05,7.0545e-05,7.0545e-05
8,33.9763,1.34577,3.96012,1.18882,0.01429,0.25,0.02139,0.00367,1.36392,3.85824,1.05183,8.14362e-05,8.14362e-05,8.14362e-05
9,38.1783,1.27752,3.83782,1.12612,0.01429,0.25,0.02139,0.00367,1.36392,3.85824,1.05183,9.208e-05,9.208e-05,9.208e-05
10,41.9697,1.48258,3.78536,1.16146,0.01339,0.25,0.04919,0.02699,1.31194,3.84551,1.03533,0.000102476,0.000102476,0.000102476
11,45.6106,1.3196,3.63477,1.15897,0.01339,0.25,0.04919,0.02699,1.31194,3.84551,1.03533,0.000112625,0.000112625,0.000112625
12,49.4162,1.34845,3.58678,1.09321,0.01626,0.33333,0.20469,0.10986,1.33306,3.79356,1.02834,0.000122526,0.000122526,0.000122526
13,53.1346,1.43375,3.60686,1.15364,0.01626,0.33333,0.20469,0.10986,1.33306,3.79356,1.02834,0.00013218,0.00013218,0.00013218
14,56.72,1.36466,3.68999,1.23207,0.02137,0.41667,0.29849,0.15804,1.16281,3.77359,0.98048,0.000141586,0.000141586,0.000141586
15,60.5082,1.29982,3.23198,1.04462,0.02137,0.41667,0.29849,0.15804,1.16281,3.77359,0.98048,0.000150745,0.000150745,0.000150745
16,64.433,1.35947,3.20009,1.06423,0.02137,0.41667,0.30758,0.15727,1.15084,3.7442,0.98279,0.000159656,0.000159656,0.000159656
17,68.727,1.52473,3.10528,1.09784,0.02137,0.41667,0.30758,0.15727,1.15084,3.7442,0.98279,0.00016832,0.00016832,0.00016832
18,72.7556,1.1966,2.80118,1.04252,0.0273,0.58333,0.29578,0.16441,1.10308,3.70652,0.96821,0.000176736,0.000176736,0.000176736
19,76.6088,1.12355,2.65599,1.02544,0.0273,0.58333,0.29578,0.16441,1.10308,3.70652,0.96821,0.000184905,0.000184905,0.000184905
20,80.6796,1.27684,2.71449,1.08346,0.03274,0.75,0.2748,0.13611,1.09729,3.66313,0.95649,0.000192826,0.000192826,0.000192826
21,84.5119,1.29923,2.41105,1.08721,0.03274,0.75,0.2748,0.13611,1.09729,3.66313,0.95649,0.0002005,0.0002005,0.0002005
22,88.6708,1.22126,2.33909,1.00548,0.03404,0.75,0.4321,0.15681,1.06859,3.60267,0.96383,0.000207926,0.000207926,0.000207926
23,92.7339,1.40287,2.41225,1.06124,0.03404,0.75,0.4321,0.15681,1.06859,3.60267,0.96383,0.000215105,0.000215105,0.000215105
24,97.0201,1.29754,2.55476,1.015,0.03404,0.75,0.4321,0.15681,1.06859,3.60267,0.96383,0.000222036,0.000222036,0.000222036
25,100.805,1.11377,2.54435,1.04307,0.03351,0.66667,0.50006,0.35184,1.09593,3.53227,0.96816,0.00022872,0.00022872,0.00022872
26,104.585,1.35135,2.33981,1.08425,0.03351,0.66667,0.50006,0.35184,1.09593,3.53227,0.96816,0.000235156,0.000235156,0.000235156
27,108.122,1.39548,2.64322,1.17823,0.03351,0.66667,0.50006,0.35184,1.09593,3.53227,0.96816,0.000241345,0.000241345,0.000241345
28,111.94,1.56965,2.15041,1.08957,0.03395,0.66667,0.58303,0.41577,1.08611,3.38763,0.9483,0.000247286,0.000247286,0.000247286
29,116.071,1.3286,2.13084,1.08863,0.03395,0.66667,0.58303,0.41577,1.08611,3.38763,0.9483,0.00025298,0.00025298,0.00025298
30,120.474,1.20472,1.82219,0.99226,0.03395,0.66667,0.58303,0.41577,1.08611,3.38763,0.9483,0.000258426,0.000258426,0.000258426
31,125.007,1.10288,2.05478,1.03287,0.03487,0.66667,0.58316,0.41502,1.05289,3.26526,0.93683,0.000263625,0.000263625,0.000263625
32,129.403,1.17208,1.80902,1.00195,0.03487,0.66667,0.58316,0.41502,1.05289,3.26526,0.93683,0.000268576,0.000268576,0.000268576
